,name,institution,course_url,course_id,rating,course_id_count
0,Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,4.7505223568742165,35895
1,Indigenous Canada,University of Alberta,https://www.coursera.org/learn/indigenous-canada,indigenous-canada,4.813614262560778,3702
2,The Science of Well-Being,Yale University,https://www.coursera.org/learn/the-science-of-well-being,the-science-of-well-being,4.92840428180234,20085
3,Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,4.776182791132252,35319
4,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,https://www.coursera.org/learn/google-cbrs-cpi-training,google-cbrs-cpi-training,4.931034482758621,87
5,Financial Markets,Yale University,https://www.coursera.org/learn/financial-markets-global,financial-markets-global,4.819466248037677,8918
6,Introduction to Psychology,Yale University,https://www.coursera.org/learn/introduction-psychology,introduction-psychology,4.840493709945407,8426
7,Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,4.581781591401654,45218
8,The Bits and Bytes of Computer Networking,Google,https://www.coursera.org/learn/computer-networking,computer-networking,4.6452454853273135,14176
9,AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,ai-for-everyone,4.843550624133148,21630
10,Crash Course on Python,Google,https://www.coursera.org/learn/python-crash-course,python-crash-course,4.734439834024896,9399
11,Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,4.865379598225933,7666
12,Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,4.775888111888112,35750
13,What is Data Science?,IBM,https://www.coursera.org/learn/what-is-datascience,what-is-datascience,4.632664674918196,21087
14,Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,4.8064022446116565,7841
15,Fundamentals of Project Planning and Management,University of Virginia,https://www.coursera.org/learn/uva-darden-project-management,uva-darden-project-management,4.771139705882353,3264
16,Project Launch,"University of California, Irvine",https://www.coursera.org/learn/project-management,project-management,4.386792452830188,106
17,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,https://www.coursera.org/learn/brand,brand,4.897669706180345,2961
18,Writing in the Sciences,Stanford University,https://www.coursera.org/learn/sciwrite,sciwrite,4.927483241925655,3282
19,Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,4.70971259443882,12839
