,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
0,How to Learn Online,"124,980",Self-paced on your time,edX,Nina Huntemann-Robyn Belair-Ben Piscopo,Introductory,Education & Teacher Training,English,English,49.0,2,2,3
1,Programming for Everybody (Getting Started with Python),"293,864",Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,English,English,49.0,7,2,4
2,CS50's Introduction to Computer Science,"2,442,271",Self-paced on your time,Harvard University,David J. Malan-Doug Lloyd-Brian Yu,Introductory,Computer Science,English,English,90.0,12,6,18
3,The Analytics Edge,"129,555",Instructor-led on a course schedule,Massachusetts Institute of Technology,Dimitris Bertsimas-Allison O'Hair-John Silberholz-Iain Dunning,Intermediate,Data Analysis & Statistics,English,English,199.0,13,10,15
4,Marketing Analytics: Marketing Measurement Strategy,"81,140",Self-paced on your time,"University of California, Berkeley",Stephan Sorger,Introductory,Computer Science,English,English,249.0,4,5,7
5,Introduction to Project Management,"301,793",Self-paced on your time,University of Adelaide,Frank Schultmann-Noel Lindsay-Anton Jordaan-John Sing,Introductory,Business & Management,English,English,199.0,6,2,3
6,Leading High-Performing Teams,"32,847",Self-paced on your time,The University of Queensland,Tyler G. Okimoto,Intermediate,Communication,English,English,5.0,10,8,10
7,The Foundations of Happiness at Work,"67,073",Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Business & Management,English,English,199.0,4,2,3
8,"Managing Study, Stress and Mental Health at University","23,061",Self-paced on your time,Curtin University,Ben Milbourn-Craig Thompson-Sonya Girdler-Frank Zimmerman,Introductory,Health & Safety,English,English,49.0,2,1,3
9,Six Sigma: Define and Measure,"92,411",Self-paced on your time,Technische Universität München,Martin Grunow-Holly Ott,Introductory,Business & Management,English,English,99.0,8,3,4
10,Fat Chance: Probability from the Ground Up,"66,835",Self-paced on your time,Harvard University,Benedict Gross-Joseph Harris-Emily Riehl,Introductory,Math,English,English,49.0,7,3,5
11,Chasing your Dream: How to End Procrastination and Get a Job You Love,"44,711",Self-paced on your time,National Research Nuclear University,Pavel Kochkin,Introductory,Communication,English,English,49.0,5,2,6
12,Bitcoin and Cryptocurrencies,"83,398",Self-paced on your time,"University of California, Berkeley",Rustie Lin-Mengyi (Gloria) Wang,Introductory,Computer Science,English,English,99.0,6,3,5
13,English Grammar and Style,,Instructor-led on a course schedule,The University of Queensland,Roslyn Petelin,Introductory,Humanities,English,English,99.0,8,3,4
14,Ethics in Action,"6,366",Self-paced on your time,SDG Academy,Dr. William Vendley-Jeffrey D. Sachs,Intermediate,Ethics,English,"English, Español, Русский",49.0,10,2,4
15,Introduction to FinTech,"72,767",Self-paced on your time,University of Hong Kong,Douglas Arner-Janos Barberis-Huy Nguyen Trieu-Ross Buckley,Introductory,Economics & Finance,English,"English, 中文, 中文",199.0,6,1,3
16,Data Science: R Basics,"528,782",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,49.0,8,1,2
17,Python Basics for Data Science,"228,809",Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,English,English,39.0,5,2,5
18,The Science of Beer,"39,085",Self-paced on your time,Wageningen University & Research,Sander Breevaart-Florence Scherer-Nico van der Veen-Esther Kunst,Introductory,Food & Nutrition,English,English,49.0,6,2,4
19,Strategic Social Media Marketing,"103,640",Instructor-led on a course schedule,Boston University,Barbara Bickart,Advanced,Business & Management,English,English,399.0,6,4,6
20,CS50's Introduction to Artificial Intelligence with Python,"258,006",Self-paced on your time,Harvard University,David J. Malan-Brian Yu,Introductory,Computer Science,English,English,199.0,7,10,30
21,CS50's Introduction to Game Development,"346,748",Self-paced on your time,Harvard University,David J. Malan-Colton Ogden,Intermediate,Computer Science,English,English,149.0,12,6,9
22,Rhetoric: The Art of Persuasive Writing and Public Speaking,"320,225",Self-paced on your time,Harvard University,James Engell,Introductory,Humanities,English,English,99.0,8,2,3
23,CS50's Web Programming with Python and JavaScript,"698,950",Self-paced on your time,Harvard University,David J. Malan-Brian Yu,Intermediate,Computer Science,English,English,90.0,12,6,9
24,Contract Law: From Trust to Promise to Contract,"414,181",Self-paced on your time,Harvard University,Charles Fried,Intermediate,Business & Management,English,English,125.0,8,3,6
25,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron","380,167",Self-paced on your time,Harvard University,David Cox,Introductory,Biology & Life Sciences,English,English,99.0,5,3,5
26,Justice,"392,588",Self-paced on your time,Harvard University,Michael J. Sandel,Introductory,Humanities,English,"Deutsch, English, Español, Português, 中文",99.0,12,3,6
27,Data Science: Machine Learning,"276,209",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,49.0,8,2,4
28,Child Protection: Children's Rights in Theory and Practice,"212,453",Self-paced on your time,Harvard University,Jacqueline Bhabha,Introductory,Social Sciences,English,English,99.0,16,2,6
29,IELTS Academic Test Preparation,"1,103,777",Self-paced on your time,The University of Queensland,Iain Mathieson-Martin Dutton-Megan Yucel-Stephen Walker,Introductory,Communication,English,English,99.0,8,5,10
30,The Architectural Imagination,"406,181",Self-paced on your time,Harvard University,Lisa Haber-Thomson-K. Michael Hays-Erika Naginski-Antoine Picon,Introductory,Architecture,English,English,99.0,10,3,5
31,TOEFL® Test Preparation: The Insider’s Guide,"1,022,489",Self-paced on your time,Educational Testing Service,Michael Knab-Cynthia Newman-Shawn Gorman-Molly Palmer,Introductory,Communication,English,English,49.0,6,2,4
32,Principles of Biochemistry,"257,600",Self-paced on your time,Harvard University,Alain Viel-Rachelle Gaudet,Intermediate,Medicine,English,English,199.0,15,4,6
33,Using Python for Research,"262,183",Self-paced on your time,Harvard University,"Jukka-Pekka ""JP"" Onnela",Intermediate,Computer Science,English,English,99.0,12,2,4
34,Hinduism Through Its Scriptures,"140,782",Self-paced on your time,Harvard University,Neelima Shukla-Bhatt-Jason Smith,Introductory,Humanities,English,English,99.0,4,5,10
35,Basic Spanish 1: Getting Started,"400,169",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno-Virginia González-Cristina Navarro-Begoña García Migura,Introductory,Communication,English,"English, Español",40.0,7,4,5
36,The Health Effects of Climate Change,"110,024",Self-paced on your time,Harvard University,Aaron Bernstein-Ashish Jha,Introductory,Environmental Studies,English,English,99.0,7,3,5
37,Inglés básico: conversacional y networking,"79,671",Self-paced on your time,Universidades Anáhuac,Judith Margarete Towle Wachenheim-Isabel Rosado Richard-Jorge Ernesto Peniche Rosales-Andrea Josefina Sansores Ruz,Introductory,Business & Management,Español,"English, Español",49.0,4,5,8
38,Statistics and R,"314,586",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Intermediate,Data Analysis & Statistics,English,English,249.0,4,2,4
